Categories,Title,Snippet
Music, Top concert promoters and agencies urge suspension of large music events,A group of five major concert promoters and music agencies have joined together to recommend a worldwide postponement of large live music events in Ma …
Music, My Chemical Romance drops Australasian tour and Download festival cancelled amid coronavirus fears,"My Chemical Romance’s tour of Australia, New Zealand and Japan has become the latest casualty of the coronavirus, resulting in the cancellation of the …"
Sport, ECB insists England's Sri Lanka Test series is on as coronavirus crisis worsens,The England and Wales Cricket Board issued a statement on Thursday evening insisting the two-Test series against Sri Lanka that begins on 19 March rem …
Sport," Postponed, cancelled or business as usual? A guide to Australia's sport events during coronavirus","Australia is catching up with other parts of the world, where sporting events have been put behind closed doors, postponed or cancelled. On Friday, th …"
Sport, PGA Tour calls off Players Championship to leave Masters in doubt,"The PGA Tour has decided to scrap the rest of the Players Championship, and shut down its other tournaments for the next three weeks, over coronavirus …"
Politics, How will we report on the EU now that the UK is out?,"Shortly before Brexit, a touching little farewell ceremony took place in the Berlaymont, the European commission’s Brussels headquarters. On Jean-Clau …"
Sport, Formula One brought to its knees by pandemic and mismanagement,For a sport proud of presenting its drama on a global stage Formula One’s curtain raiser in Melbourne offered only farce. With the Australian Grand Pr …
Music, Dumama + Kechou: Buffering Juju review – a bewitching musical odyssey,Summary: South Africa’s Mushroom Hour Half Hour label has been releasing some of the more ear-tickling sounds from the country’s experimental scene in recent y …
Music, The Boomtown Rats: Citizens of Boomtown review – nostalgia and toe-curling currentness,"The first Boomtown Rats album for 36 years comes trailed by promotional bumf that really does it no favours at all. Pondering the state of the world, …"
Music, Code Orange: Underneath review – a thrilling new form of molten metal,"Despite its reputation as the satanic scourge of curtain-twitching suburbia, metal can be prone to the kind of squabbling you might see at a parish co …"
Music, It's my life: the rise of the pop-star scripted documentary,"“I would like to be excluded from this narrative, one that I have never been asked to be a part of, since 2009,” wrote Taylor Swift of her public feud …"
Music, Maria McKee: La Vita Nuova review – Show Me Heaven singer's high-drama alt-rock,"After emerging as a member of cowpunk band Lone Justice in the early 80s, Maria McKee really made her name in the 90s with the kind of impassioned alt …"
Sport, Australia beat New Zealand by 71 runs first one-day international – as it happened,Here is the report: That’s it for me. Thanks for your company across what has been a very strange day at the cricket. Provided the second ODI goes ahe …
Music," Tracks of the week reviewed: Róisín Murphy, Dixie Chicks, Jarv Is...","Róisín Murphy Murphy’s Law If you are undecided as to whether Róisín is single-handedly reviving disco (she is), then this, clocking in at a portly se …"
Music, Stranger Things to Uncut Gems: a golden age of electronic soundtracks,Summary: It is not hard to see why first-time feature director Nick Rowland looked to Benjamin John Powers for the soundtrack to his film Calm With Horses. It …
Sport, Sky's the limit for Scotland's Jamie Ritchie despite recent blow,"Summary: Nothing much in sport, or life, can be guaranteed at times like this. In the case of the Scottish flanker Jamie Ritchie, even so, everyone predicts th …"
Music, Record Store Day postponed until June over coronavirus,"Record Store Day has been postponed until 20 June due to the coronavirus. The event, set up in 2008 to champion independent record stores, involves th …"
Sport, Wales v Scotland Six Nations match called off 24 hours before kick-off,The Welsh Rugby Union called off Saturday’s Six Nations match against Scotland 24 hours before the kick-off to fall in line with other sports in the c …
Politics, MP Bridgen enters Covid-19 row between wife and Dorries,Summary: The MP Andrew Bridgen has waded into an online row between his wife and the health minister Nadine Dorries over how the latter dealt with her coronavi …
Politics, Is 'refreshingly untribal' Lisa Nandy Labour's best hope?,"Summary: On the Monday after Jeremy Corbyn led Labour to its worst general election defeat since 1935, Lisa Nandy headed to Ashfield in Nottinghamshire to stan …"
Music, 'Hammer blow': UK live music sector faces coronavirus disaster,The UK live music industry is facing huge losses after tens of events have already been forced to cancel or postpone due to coronavirus. With the Who …
Sport, Super League to offer Sky Sports all games live to fill gaps in schedule,Super League is considering approaching Sky Sports with a proposal to show all its games live after cancellations because of coronavirus created gaps …
Sport, Cheltenham Festival bubble brings respite despite disbelief elsewhere,"Even by the ordinary standards of sport horse racing is an escapist place to spend your time. The Cheltenham Festival is its busiest, most hedonistic …"
Sport, English football joins global sport shutdown in deepening virus crisis,"English football was forced to join the sweeping global shutdown of sport on Friday with all elite matches – including the Premier League, the Footbal …"
Music, Katie Melua: 'My musical ear developed during Georgia's blackouts',"In a recording booth at the Georgian Film Studios in Tbilisi, an engineer helping to record the violinist Lisa Batiashvili’s new album curses under hi …"
Sport," Sportwatch: Sydney into W-League grand final, Pies win big in AFLW, NRL, Super Rugby, and more - as it happened","That’s all from me for today. Lots happened, quite how much of it will matter in the long run remains to be seen. All eyes now on the response to New …"
Music, The week in classical: Giulio Cesare; Susanna – review,"Two very different approaches to Handel found their way on to London stages last week; one sure-footed and graceful, the other awkward and graceless, …"
Sport, Joe Root says England players’ minds were elsewhere over coronavirus,Joe Root has outlined how the decision to abandon England’s tour of Sri Lanka was driven more by the unsettling effect of the coronavirus pandemic on …
Music, One to watch: Brooke Bentham,"The River Tyne has seen many singer-songwriters bubbling up from its banks. After Sting and Neil Tennant, Richard Dawson and Sam Fender comes 24-year- …"
Politics, Brexit: coronavirus sparks calls to extend EU transition period,"Britain and the EU are facing calls to back away from a “game of chicken” and extend the Brexit transition period immediately, as both respond to the …"
Sport, Business as usual for horse racing until Government says otherwise,"“Keep calm and kick on” is the maxim racing appears to have adopted in the face of the threat posed by coronavirus, judging by the views expressed on …"
Music, Throbbing Gristle and Psychic TV leader Genesis Breyer P-Orridge dies aged 70,"Genesis Breyer P-Orridge, co-founder of avant-garde band Throbbing Gristle and leader of Psychic TV, has died aged 70, according to reports from their …"
Music," Home listening: a wealth of new music, plus Alma Mahler in person…",Summary: • Mixing different musical styles used to be called crossover. No one much liked the word. The Civitas Ensemble – three top players from the Chicago S …
Sport, The UFC’s defiance of the coronavirus outbreak is reckless and irresponsible,"In the wake of the World Health Organization declaring the novel coronavirus 2019 a pandemic on Wednesday, major sports leagues in the United States a …"
Sport, Busy cricketing calendar leaves ECB with limited space for rescheduling,Briefly there was the possibility England’s cricketers may provide a semblance of normality given Sri Lanka has so far managed to avoid having many co …
Music, Niall Horan: Heartbreak Weather review – 1D’s quiet one comes good,"Summary: When One Direction were fused together on The X Factor in 2010, Niall Horan – all happy-to-be-there charm and third-place grin – got lost in the mix. …"
Music, Genesis P-Orridge: troubling catalyst who loathed rock yet changed it for ever,"For someone who occasionally purported to hate rock music – it was, a homemade T-shirt s/he was fond of wearing in the 1970s proclaimed, “for arselick …"
Music, Genesis P-Orridge obituary,"“I am at war with the status quo of society and I am at war with those in control and power,” said Genesis P-Orridge in 1989. “I’m at war with hypocri …"
Music, The Marriage of Figaro review – superb singing in hilarious staging,Summary: Sometimes simple solutions really do work best. Joe Hill-Gibbins’ new production of The Marriage of Figaro for English National Opera stages Mozart an …
Music, CocoRosie: Put the Shine On review: a return to core idiosyncrasies,"It’s 17 years since Bianca and Sierra Casady materialised like a fever dream of New York’s 00s freak-folk scene, a new, weird American incarnation of …"
Politics, Coronavirus: UK manufacturers urged to consider switching to making ventilators,Matt Hancock has called on British manufacturers to consider switching parts of their production to the making of medical ventilators needed to treat …
Music, Letter: Andy Gill obituary,"Andy Gill and Gang of Four weren’t just students in Leeds, they were part of the cultural infrastructure of the city. They were part of the musical sc …"
Politics, Johnson urged to launch daily coronavirus press briefings,Summary: Boris Johnson has been urged to start holding daily coronavirus press briefings as criticism of the UK government’s media handling of the crisis grows …
Sport, Titans ignore Tom Brady and sign Ryan Tannehill to reported $118m deal,"Speculation is mounting that Tom Brady may leave the New England Patriots in the coming weeks but one of his potential destinations, the Tennessee Tit …"
Sport, British athlete calls on IOC to postpone 2020 Tokyo Olympics,"The International Olympic Committee must act decisively by postponing the Tokyo 2020 Games because of the impact of the coronavirus pandemic, a Britis …"
Sport, Question of five-day Cheltenham returns following successful Festival,"It’s only natural to want more of what you enjoy and so, when the topic of extending the Cheltenham Festival came up last week during the event itself …"
Music," Mike Skinner: 'It's not cool to be 40 in a nightclub, getting off your face. But it happens'","‘This is where I go on like Morrissey and say something terrible,” says Mike Skinner. “That’s what ageing musicians are supposed to do, isn’t it? They …"
Politics, Jill Theis obituary,"My mother, Jill Theis, who has died aged 90, was a Liberal, then Lib Dem councillor, who cared deeply about her community in Bexhill-on-Sea, East Suss …"
Sport, My favourite game: Manchester United's 1999 replay against Arsenal,"Much as the internet wills it otherwise, football inhabits the grey areas: everything is subjective, nothing is absolute, and it is no more deviant to …"
Music, Jon Hopkins review – recital turns rave as fans embrace one last gig,Sunday evening and the atmosphere in Brighton Dome feels curiously subdued. Perhaps it has something to do with the fact that you can’t escape current …
Sport, IOC rules out staging Tokyo Olympic Games behind closed doors,The International Olympic Committee has ruled out staging the Tokyo Games behind closed doors because insiders say that would be anathema to the philo …
Sport, Talking Horses: all racing to go behind closed doors from Tuesday,"The British Horseracing Authority confirmed yesterday that all British racing will be behind closed doors from today until at least the end of March, …"
Sport, NFL says draft will go ahead in April but behind closed doors,"The NFL has said one of the biggest events on its calendar, the draft, will go ahead as planned next month in Las Vegas. Sporting events across the wo …"
Music, LSO/Pappano review - intense and unsparing emotional directness,"At the end of his concert with the London Symphony Orchestra, Antonio Pappano made a short speech, thanking the audience for attending and giving thei …"
Sport, Kelso keeps on racing with one man and his dog in the stands,Summary: The odds-on favourite won the first race here on Monday and the loudest noise as Sam Twiston-Davies and Little Rory Mac galloped towards the line was …
Sport, RFL admits clubs are under threat after suspending season over coronavirus,"The Rugby Football League’s chief executive, Ralph Rimmer, has conceded the future of many clubs could be under threat after it was unanimously agreed …"
Politics, PM finally defers to experts as he deflects tricky Covid questions,Summary: This was a critical moment for Boris Johnson. He went into Monday’s Downing Street press conference – set to be a daily occurrence from now on – with …
Sport, Grand National 2020 cancelled due to coronavirus outbreak,"The Grand National at Aintree on 4 April, in which Tiger Roll had been expected to attempt an unprecedented third consecutive victory in the world’s m …"
Sport, AFLW community rallies in face of coronavirus-impacted season,"Summary: We live in undoubtedly strange times. There aren’t answers to many questions about the ongoing effects of the coronavirus at the moment, but one thing …"
Music," Sorry, the band making ennui sexy","Most bands form over pints, broken hearts and aspirations of superstardom. Few start with mild bullying. But Asha Lorenz, the frontwoman of London ban …"
Music, The last dance: clubbing in the coronavirus crisis,"Bang Face, a dance music festival held at Southport holiday park Pontins, is known for a particularly hell-for-leather approach to jackhammering dance …"
Music, Drake scores most US chart hits ever,"Summary: Canadian rapper Drake now has more US chart hits than any other artist in history, scoring his 208th Billboard Hot 100 entry this week. The rapper bro …"
Sport, Talking Horses: all racing suspended until end of April due to coronavirus,The British Horseracing Authority has abandoned its attempt to continue racing behind closed doors and announced that all racing in Britain will be su …
Sport, Belichick hails 'exceptional' Brady as QB leaves Patriots after 20 years and six titles,Summary: One of the most successful partnerships in the history of US sports has come to an end with the news that Tom Brady is leaving the New England Patriot …
Sport, England batsman Alex Hales in self-isolation with coronavirus symptoms,The Pakistan Super League was called off with only three matches remaining after Alex Hales returned home early from the tournament and then went into …
Music, From Aphex Twin to Al Green: the most soothing songs to self-isolate with,"Summary: Alexis Petridis, chief rock and pop critic Deniece Williams – Free From 1976, soul music so pillowy and cosseting, it makes Minnie Ripperton’s Loving …"
Sport, Full extent of suffering yet to be seen in AFL season like no other,"A ball is yet to be kicked, but already this AFL premiership season is unlike any other. The sport of Australian football has weathered world wars, re …"
Politics, 'We can’t afford to shut': PM's Covid-19 advice leaves pubs and shops in limbo,"A day after Boris Johnson strongly advised people to avoid pubs, clubs and theatres as part of a dramatic escalation of measures to curb the spread of …"
Music, Fiona Apple: six reasons she is the perfect artist for a time of crisis,"It’s been eight years since Fiona Apple last graced the world with a studio album, but an illuminating profile in the latest issue of the New Yorker, …"
Sport, French Open's new dates in late September risk boycott by Rafael Nadal,A leftfield decision by the Fédération Française de Tennis on Tuesday to move the French Open from May to September and hopefully away from the health …
Politics, Chancellor's £330bn coronavirus package is big – but not big enough,"Rishi Sunak last week called his £12bn package to buttress the economy amid the spread of coronavirus “temporary, timely and targeted”. He was applaud …"
Sport, Kevin Durant among four Brooklyn Nets players to test positive for Covid-19,"NBA superstar Kevin Durant said he is among the four Brooklyn Nets players to have tested positive for coronavirus, according to a report. The Nets co …"
Sport, Tom Brady set to sign for Tampa Bay Buccaneers after leaving Patriots,Summary: Tom Brady is expected to sign with the Tampa Bay Buccaneers after ending his 20-year career with the New England Patriots. ESPN reported the Buccaneer …
Sport, Eseries to fill gap after Supercars put on hold due to Covid-19,Summary: Australian motor sport has turned to the virtual world of esports to fill the void created by the postponement of the Supercars championship due to th …
Politics, Layla Moran criticises Lib Dems' general election strategy,"Layla Moran, the Liberal Democrat MP competing to become the party’s next leader, has castigated its tactics at the last election, saying a pledge to …"
Sport," Hated by Them, loved by Us. With Tom Brady's exit the Patriots dynasty is over",It was already set to be the most surreal St Patrick’s Day in modern Massachusetts memory. There would be no parade in the Irish-American stronghold o …
Music, 'Sing across rooftops': Bono writes coronavirus song dedicated to Italy,U2 frontman Bono has performed his first new music since 2017 with a song inspired by Italians quarantined during the coronavirus outbreak. He posted …
Sport, 'This could be the end for a few clubs': sports fans on coronavirus,‘Will our league survive?’ I’m a member of a League of Ireland football club. We are one of the better known clubs in the country and have a fair few …
Music, Katy Perry wins appeal in $2.8m plagiarism case,"Summary: Katy Perry has won an appeal in a copyright case involving damages of $2.8m (£2.3m). In July 2014, Perry was accused of plagiarising the song Joyful N …"
Sport," My favourite game: Uruguay v Ghana, World Cup 2010 quarter-final","Almost a decade on, the 2010 World Cup is recalled as a tournament of low-scoring matches, played out amid the distracting honk of vuvuzelas. As is us …"
Politics, Labour MPs alarmed at Covid-19 laws being passed without vote,Labour MPs have expressed concern at the possibility of sweeping emergency powers to tackle coronavirus being put into force for two years without a C …
Music, Glastonbury: tell us how you feel about the festival's cancellation,News that the Glastonbury festival 2020 has been cancelled to prevent the spread of coronavirus will have come as a shock to many. The festival’s 50th …
Music, Glastonbury 2020: festival cancelled due to coronavirus outbreak,"The Glastonbury festival, which was due to celebrate its 50th anniversary year in 2020 with headliners including Taylor Swift, Paul McCartney and Kend …"
Music, Daryl Davis: the black musician who converts Ku Klux Klan members,"Daryl Davis is a musician – a pianist to be exact. He has jammed with the likes of Chuck Berry, Jerry Lee Lewis, BB King and even Bill Clinton. Loyal …"
Politics, Pantomime clown Boris Johnson flounders as crisis deepens,"Summary: The Labour benches had already long since stopped cheering on their leader at prime minister’s questions, but now the Tories have also fallen silent. …"
Sport, Ireland goes it alone as racing continues behind closed doors,Racing in Ireland will continue behind closed doors from this weekend but with a series of added measures to guarantee social distancing and minimise …
Sport," Months not weeks before rugby resumes in Wales, warns WRU",The Welsh Rugby Union has warned its clubs it is likely to be “months rather than weeks” before the season resumes in Europe and expects to make a sub …
Politics," All schools to close from Friday; GCSE and A-level exams cancelled – UK Covid-19, as it happened","All UK schools will close immediately to staff and most pupils from Friday afternoon until further notice. Wales was first to announce the measure, fo …"
Sport, Rapid rise of women’s sport at risk of being halted by Covid-19 outbreak,Summary: It will be an eerie sight this week when grounds around Australia host the opening round of the men’s AFL competition with empty stands. In the space …
Sport, The forgotten story of ... how Spanish flu tore apart the 1919 Stanley Cup final,The disease known as the “Spanish flu” was first reported in North America in January 1918 in Kansas. By the time owners and organizers began to prepa …
Music," 'Instagram, how we feeling!' Can livestreaming replace cancelled gigs?",“Instagram! How are we feeling tonight?” shouts rising Newcastle pop star L Devine. The crowd goes wild. She throws her arms wide. Then she pauses the …
Sport," Liga MX gold, the best of the XFL and absentee handshakes","1) Whilst the rest of the sporting world is shutting down, the relatively low spread of coronavirus in Mexico means that Liga MX was one of the few ma …"
Politics," UK 'must spend extra £22bn' to help workers facing layoffs, urges thinktank","The government should commit a further £22bn to support up to 1 million workers facing layoffs following the coronavirus outbreak, a thinktank has urg …"
Music, Musicians ask Spotify to triple payments to cover lost concert revenue,"Musicians are calling on Spotify to triple its royalty rates following the coronavirus pandemic. Due to government guidance, many venues have closed a …"
Sport, AFL 2020 season opener: Richmond beat Carlton at empty MCG – as it happened,"Summary: Richmond are in the rooms, arm in arm for the song. Not very socially-distanced, but I suppose after two hours in the middle there’s little point of t …"
Music," J Balvin: Colores review – with this much style, who needs substance?","There are few hard and fast laws in the world of rock and pop music, but as a general rule of thumb, you can tell an album is considered a big deal if …"
Sport, Talking Horses: ITV to cover Irish racing with contract outlook muddied,Summary: ITV Racing will broadcast five races from Thurles in Ireland on ITV4 on Saturday presented by its regular anchor Ed Chamberlin and using “the smallest …
Sport, 'Focus only on what you can control': A solo round-the-world sailor on isolation,"When I took part in the Vendee Globe, I spent three months at sea alone and on the Aviva Challenge I was alone at sea for six months. My home for that …"
Music, David Bowie's 50 greatest songs – ranked!,"50. Let Me Sleep Beside You (1967) A rejected single finally released on a 1970 cash-in compilation, Bowie’s first collaboration with the producer Ton …"
Politics, Bruce George obituary,"The former Labour MP Bruce George, who has died aged 77, had a profound belief in the need for a strong defence of the UK and chaired the Commons defe …"
Politics, What we wouldn't give for a Gordon Brown or John Major right now,The government appears to have taken the unusual decision to run a mañana culture. I’ve no doubt ministers and civil servants are working flat out on …
Sport," No crowd, no atmosphere, only footy as AFL season makes muted bow","Summary: Only footy, the presence of which provided brief respite from channel after channel of Black Mirror rip-offs. Only footy; so why did Richmond v Carlto …"
Sport, Pro14 suspension extended indefinitely and Cardiff final in June cancelled,The suspension of rugby union’s Pro14 2019/20 competition has been extended indefinitely and the final scheduled for June has been cancelled due to co …
Sport, Talking Horses: Flat trainers show their support as Ireland keeps racing,Ireland’s Flat trainers have come out in force to support the first meeting in the country since Horse Racing Ireland decided to extend its attempt to …
Music, 'I'm trying to keep the panic down' – the coronavirus impact on music,There isn’t a single part of the music industry that won’t be affected by the coronavirus outbreak. The most obvious are the high profile festival can …
Music, Meredith Monk: Memory Game review – passing her musical baton to the next generation,"Meredith Monk might be one of America’s most fascinating composers, but the additional roles that she has created for herself – that of singer, dancer …"
Music, Duffy debuts first new music since rape ordeal revelation,"Duffy, the pop star who recently said she retreated from public life due to a kidnap and rape ordeal, has debuted her first new music since the announ …"
Music, Morrissey: I Am Not a Dog on a Chain review – old man yells at cloud,"Summary: Morrissey’s official channels have recently been stressing the 60-year-old’s virility, citing reviews from his US tour that praise his “ageless” voice …"
Music, Låpsley: Through Water review – intensely poetic and powerful,"On her 2016 debut, Liverpudlian electronic pop singer Låpsley worked with a brains trust of songwriters and producers to try her hand at chart anthems …"
Music, Young T & Bugsey: Plead the 5th review – champagne-soaked retro rap,"London may no longer be the centre of UK hip-hop, but many regional rap scenes are only just minting their first mainstream stars. Thanks to two Top 2 …"
Music, Musicians head online as Covid-19 puts live shows on pause,"“It’s a way to bring money in,” says the Metronomy bassist, Olugbenga Adelekan, who is preparing to give an online lesson from his home studio. “It’s …"
Music," Tracks of the week reviewed: Bow Anderson, The Killers, Yaeji","Bow Anderson Sweater Twenty-six years after Weezer’s Undone (The Sweater Song), the humble pullover is – finally! – back in the pop milieu. Here, newc …"
Music," Breathe in, now breathe out: how musicians are embracing guided meditations","Take a deep breath and come to a comfortable seated position: we could all do with some spiritual healing right now, but especially the music industry …"
Politics, UK bus firms call for £1bn aid to maintain vital services,"Britain’s bus operators have called for the government to provide £1bn in urgent aid to maintain critical services, as passenger numbers fall away bec …"
Sport, F1 drivers prepare for face-off in virtual races following postponements,Formula One is to run a series of virtual grands prix to fill in gaps left by races that have been cancelled or postponed due to coronavirus. The non- …
Politics," UK coronavirus: restaurants, pubs and gyms to close; government to pay 80% of wages of those not working – as it happened","Summary: All cafes, pubs, bars, clubs, restaurants, gyms, leisure centres, nightclubs, theatres and cinemas must close tonight, Boris Johnson announced as the …"
Music, Coronavirus leaves roadies and events crew devastated: 'It's the first industry to stop dead',"During the 45 minutes we’re on the phone, Steve “Pineapple” Alberts – a behind-the-scenes mainstay of Australian live music – misses seven calls. Albe …"
Sport, Far from the gladdening crowd: live sport is our collective therapy,"“The future belongs to crowds,” Don DeLillo wrote in Mao II, a quote that makes DeLillo sound po-faced and serious, when he also wrote things like “Bl …"
Music," Kenny Rogers, country music star, dies aged 81","Kenny Rogers, the American country music star with hits popular across the world, has died of natural causes at the age of 81 at his home in Sandy Spr …"
Sport," Sportwatch: Melbourne City win W-League, Giants and Port dominate in AFL and more - as it happened",Summary: Well that ends our strange night of sport. I hope it’s proved a decent distraction from the general horrors of existence. A win for Melbourne City in …
Music, Classical music: let the Berlin Phil come to you,"• As home entertainment becomes inevitably more central to our lives, the quest will surely be to capture the spirit of the authentic live experience. …"
Music," Home listening: in stormy times, Schubert is balm for the soul","• “There’s no love song finer/ But how strange the change/ From major to minor”, as Cole Porter observed in his Great American Songbook classic Ev’ry …"
Music, Jessie Reyez: Before Love Came to Kill Us review – an outrageously fine debut,"As the pop landscape becomes progressively bolder and more crowded, it becomes more difficult for any new artist to make an impact. The bandwidth is s …"
Sport, Optimism flows for Premiership despite shutdown's financial pressure,"At a time when the domestic season in Europe should be gathering pace, rugby has ground to a halt. There will be no more matches in England below the …"
Politics, US trade deal ‘could flood Britain with toxic cosmetics’,"A UK trade deal with the US will see the relaxation of stringent laws prohibiting the use of dangerous ingredients in imported cosmetics, campaigners …"
Music, Kenny Rogers: the genre gambler who always came up trumps,"Seven years ago, Kenny Rogers was interviewed by the Guardian. He was about to play Glastonbury, a turn of events by which he seemed utterly perplexed …"
Music," Kenny Barron, Dave Holland, Johnathan Blake: Without Deception review – an outstanding trio","In jazz, there are pianists with bass and drums accompaniment and there are piano trios. They look the same on stage, but there is a world of differen …"
Sport, Talking Horses: David Mullins and Zero Ten profit from falls to win,"Summary: Zero Ten ended up as the comfortable winner of Thurles’s Pierce Molony Memorial Novice Chase, the feature race on the only card staged in Ireland on S …"
Politics," ‘Corbynism without Corbyn’ will destroy Labour, says Wes Streeting","A Labour party that espouses “Corbynism without Corbyn” risks disappearing from the political map, a Labour MP has warned. In a new pamphlet with the …"
Music, Roger and Brian Eno: Mixing Colours review – an intimate conversation,"The Eno brothers have collaborated before, most recently on 2019’s revamp of the celebrated 1983 Apollo: Atmospheres & Soundtracks documentary score ( …"
Politics, No 10 denies claim Dominic Cummings argued to 'let old people die',"Downing Street has rejected as “a highly defamatory fabrication” a claim that Boris Johnson’s chief adviser, Dominic Cummings, initially argued agains …"
Music, Låpsley: Through Water review – bedroom auteur’s potent follow-up,"Following the release of her precocious debut album, 2016’s Long Way Home, bedroom auteur Holly Låpsley Fletcher took time away from music to take sto …"
Politics, Rishi Sunak faces legal action from gig economy workers,"Pressure is mounting on Rishi Sunak to extend his coronavirus bailout to the UK’s five million self-employed people, with gig workers threatening lega …"
Music, J Balvin: Colores review – a riot of hooks and ideas,"Since Colombian reggaeton sensation J Balvin’s global breakthrough with 2017 banger Mi Gente, his stock has risen thanks in part to a slew of well-cho …"
Sport, Coronavirus leaves Super League facing 13-team season next year,"Super League may have to consider the possibility of running a 13-team league in 2021, with one of the competition’s leading chief executives suggesti …"
Music, Mali music star Rokia Traoré on hunger strike after  'kidnapping' arrest,"There are growing concerns for the health of Rokia Traoré, the internationally celebrated Malian singer, who has been on hunger strike at the Fleury-M …"
Sport, AFL goes into damage control in face of serious threat,"Summary: In the end the AFL came to its senses. In arriving at a decision many hoped might have been made last week, league bosses suspended the men’s competit …"
Sport, Olympics postponement to 2021 on cards as IOC gives itself four-week deadline,Summary: The International Olympic Committee has paved the way for the Tokyo Games to be postponed after giving itself a four-week deadline to consider its opt …
Sport, Talking Horses: Racing mulls 'localised' idea for eventual return,British racing is considering the feasibility of a limited return to action at a small number of all-weather tracks with horses to be stabled and trai …
Sport, Enough of this epic delusion: coronavirus makes sport in front of fans a long way off,"We still don’t get it. Even now, as death tolls rise exponentially across Europe and the greatest economic crisis of our age deepens, the white lies p …"
Music, Kraftwerk: where to start in their back catalogue,"While many of us worldwide are unable to experience live music during the coronavirus crisis, or even socialise as normal, we can still use streaming …"
Sport, Japan Olympic Committee president considering postponing Games,The head of the Japan Olympic Committee (JOC) said on Monday he had to consider postponing the Games among his options amid increasing calls from comm …
Sport, My favourite game: Usain Bolt wins Olympic 200m gold at Beijing 2008,"No one was ever going to beat Michael Johnson’s record. Not in my young lifetime anyway, maybe some distant day when I was old and grey, and athletics …"
Music, Rick Astley: how we made Never Gonna Give You Up,"Rick Astley, singer I was the drummer in FBI, a jangly guitar band in Newton-le-Willows, Lancashire. After I started writing a few tunes, I became the …"
Music, Lyrical lockdown: rappers respond to coronavirus,"As cultural institutions and the arts sector struggle to adjust to their new roles during the coronavirus outbreak, one strand is proving particularly …"
Politics, Moira Salmond: the political wife who avoids public life,Moira Salmond has long been one of the most enigmatic figures in Scottish public life. Married to one of the country’s most famous political leaders f …
Politics, How UK coronavirus lockdown compares with other countries,"Summary: Twenty-three days after Boris Johnson remarked offhandedly that coronavirus is “likely to spread a bit more”, he finally declared a stricter lockdown …"
Politics, Alex Salmond's court win leaves questions over role of SNP,"Summary: Over nearly nine days of often contradictory and emotionally charged evidence, the jurors in Alex Salmond’s trial on 14 charges of sexual assault hear …"
Politics, Boris Johnson unveils the lockdown that isn't quite a lockdown,This time there was no daily Downing Street press conference. Not even an ersatz People’s PMQs with spoon fed set ups from Classic “Let the old and th …
Sport, Talking Horses: Devon Loch bellyflop remains a mystery after 64 years,"At 3.24pm on Tuesday, it will be exactly 64 years since Devon Loch performed the most famous bellyflop in sports history. We’ve all seen some glorious …"
Politics, Salmond's acquittal could make him the SNP's biggest challenge,When Nicola Sturgeon addressed a private gathering of Scottish National party politicians at Edinburgh Napier University towards the end of August 201 …
Sport, Australian sport braces for widespread cuts as financial crisis hits,The huge financial cost of the coronavirus outbreak is being felt in the major football codes as Australian sport braces itself to feel the full impac …
Music, Kim Kardashian West accuses Taylor Swift of lying over leaked tape,One of celebrity’s longest-running but assumed dormant feuds has once again reared its head. Kim Kardashian West has accused Taylor Swift of lying aft …
Music, Rihanna: where to start in her back catalogue,"Summary: The album to start with Rated R (2009) By 2009, the idea of the “rebel album” – a record by a (typically female) pop star that aims for darker, more m …"
Music, Soothing songs for self-isolation: readers' picks,"Last week, we published a 60-song playlist of soothing songs to reduce the stresses of self-isolation and the coronavirus outbreak. We asked you for y …"
Sport, How Middlesex reject Reggie Schwarz became an early master of the googly,"In 1902, before what would prove Reggie Schwarz’s final summer as an Englishman, Surrey’s Henry Leveson-Gower wrote a preview of the county season in …"
Music, Strike a pose! My night at a vogue ball with Malcolm McLaren,It was late September 1988: George Bush was up against Michael Dukakis in the first of their two TV debates. The presidential campaign was hotting up …
Music, Julie Felix obituary,"In 1966, at the height of the folk music boom in Britain, David Frost’s satirical television show The Frost Report featured a young American folk sing …"
Music, Julie Felix: 10 of her greatest performances,"As a Californian teenager, Julie Felix – who has died aged 81 – never imagined herself becoming a folk singer, but her guitar became a handy tool for …"
Sport, IOC under fire after boxers at London event test positive for Covid-19,The International Olympic Committee has been accused of putting athletes’ health in jeopardy after two Turkish boxers and their head coach tested posi …
Politics," UK coronavirus: tests prioritised for NHS workers, 'not available on the internet next week' – as it happened","Mass home testing is to be made available ‘within days’, Public Health England has claimed. The test, which involves pricking the finger to produce a …"
Politics, The Guardian view on parliament in a crisis: rising to the challenge,Prime minister’s questions in the House of Commons typifies British democracy in some respects. It fulfils an essential function by means of conventio …
Sport, Premiership players considering claims for unlawful deduction of wages,Premiership clubs are likely to face claims of unlawful deduction of wages amid growing player unrest at the blanket 25% pay cuts imposed. It is under …
Politics," Boris Johnson and his donkeys stumble on, led by lions they try to lead",We were still a long way short of John Bercow’s last prime minister’s questions hurrah. That clocked in at a mind-numbing 70 minutes. But with parliam …
Sport, Emergency meeting to determine if Wimbledon can take place,"The All England Club will decide at an emergency meeting next week if it is advisable or even viable to hold this year’s Wimbledon tournament, due to …"
Sport, Eddie Jones to be asked to take pay cut with RFU set for £50m losses,Eddie Jones will be asked to take a pay cut after the Rugby Football Union revealed it is set to lose up to £50m owing to the disruption caused by cor …
